Temperature,Rainfall,Humidity,Pressure,RainToday,RainTomorrow
19.3,0,9.65,4.825,No,0
20.8,0,10.4,5.2,No,0
26.35,0,13.175,6.5875,No,0
20.4,0,10.2,5.1,No,0
15.4,0,7.7,3.85,No,0
24.95,0,12.475,6.2375,No,0
30.8,0,15.4,7.7,No,0
35.5,0,17.75,8.875,No,0
30.55,0.6,15.575,8.0875,No,0
23.85,0,11.925,5.9625,No,0
20.7,0,10.35,5.175,No,0
27.2,0,13.6,6.8,No,0
29.75,0,14.875,7.4375,No,0
29.5,0,14.75,7.375,No,0
33.9,0,16.95,8.475,No,0
34.85,0,17.425,8.7125,No,0
33.8,0,16.9,8.45,No,0
24.6,0,12.3,6.15,No,0
26.9,0,13.45,6.725,No,0
21.1,1,11.05,6.025,No,0
21.65,0,10.825,5.4125,No,0
26,0,13,6.5,No,0
27,0,13.5,6.75,No,0
30.9,0,15.45,7.725,No,0
26.25,0,13.125,6.5625,No,0
26.9,0,13.45,6.725,No,1
22.8,24.8,23.8,24.3,Yes,1
24,6.2,15.1,10.65,Yes,0
25.25,0,12.625,6.3125,No,0
25.4,0,12.7,6.35,No,0
23.5,0,11.75,5.875,No,0
31.4,0,15.7,7.85,No,0
31.3,0,15.65,7.825,No,0
34.65,0,17.325,8.6625,No,0
19.25,0.2,9.725,4.9625,No,0
22.35,0,11.175,5.5875,No,0
30.15,0,15.075,7.5375,No,0
27.95,0,13.975,6.9875,No,1
23.3,0,11.65,5.825,No,0
24.7,0,12.35,6.175,No,0
28.8,0,14.4,7.2,No,0
24.2,0,12.1,6.05,No,0
19.35,0,9.675,4.8375,No,0
18.5,1,9.75,5.375,No,0
27.1,0,13.55,6.775,No,0
23.7,0.2,11.95,6.075,No,0
22.55,0,11.275,5.6375,No,0
25.45,0,12.725,6.3625,No,0
29.15,0,14.575,7.2875,No,0
28,0,14,7,No,0
27.9,0,13.95,6.975,No,0
27.7,0,13.85,6.925,No,0
28.05,0,14.025,7.0125,No,0
23.5,0,11.75,5.875,No,0
21.35,0,10.675,5.3375,No,0
20.3,0,10.15,5.075,No,0
23,0,11.5,5.75,No,0
23.75,0,11.875,5.9375,No,0
21.3,0,10.65,5.325,No,0
29.8,0,14.9,7.45,No,0
31.95,0,15.975,7.9875,No,0
27.3,0,13.65,6.825,No,0
22.9,0,11.45,5.725,No,0
22.85,0,11.425,5.7125,No,0
25.55,0,12.775,6.3875,No,0
30.55,0,15.275,7.6375,No,0
30.15,0,15.075,7.5375,No,0
32.55,0,16.275,8.1375,No,0
33.5,0,16.75,8.375,No,0
31.85,0,15.925,7.9625,No,0
31.1,0,15.55,7.775,No,0
30.8,0,15.4,7.7,No,0
26.55,0,13.275,6.6375,No,0
27.4,0,13.7,6.85,No,0
29.45,0,14.725,7.3625,No,0
26.7,0,13.35,6.675,No,0
26.9,0,13.45,6.725,No,0
24.45,0,12.225,6.1125,No,0
25.55,0,12.775,6.3875,No,0
27.8,0,13.9,6.95,No,0
16.25,0,8.125,4.0625,No,0
16.9,0,8.45,4.225,No,0
18.8,0,9.4,4.7,No,0
19.65,0,9.825,4.9125,No,0
23.75,0,11.875,5.9375,No,0
22.45,0,11.225,5.6125,No,0
18.35,0,9.175,4.5875,No,0
16.6,0,8.3,4.15,No,0
19.05,0,9.525,4.7625,No,0
16,0,8,4,No,0
17,0,8.5,4.25,No,0
19.1,0,9.55,4.775,No,0
13.55,0,6.775,3.3875,No,0
16.4,0,8.2,4.1,No,0
17.8,0,8.9,4.45,No,0
16.6,0,8.3,4.15,No,0
16.8,0,8.4,4.2,No,0
17.3,0,8.65,4.325,No,0
20.7,0,10.35,5.175,No,0
17.25,0,8.625,4.3125,No,0
20.15,0,10.075,5.0375,No,0
24.55,0,12.275,6.1375,No,0
23.4,0,11.7,5.85,No,0
13.35,0,6.675,3.3375,No,0
18.65,0,9.325,4.6625,No,0
19.25,0,9.625,4.8125,No,0
21.55,0,10.775,5.3875,No,0
19.75,0.2,9.975,5.0875,No,1
20.65,2.2,11.425,6.8125,Yes,1
16.35,3.2,9.775,6.4875,Yes,0
14.25,0,7.125,3.5625,No,0
17.25,0,8.625,4.3125,No,0
14.7,0,7.35,3.675,No,0
16.8,0,8.4,4.2,No,0
17.3,0,8.65,4.325,No,1
17.55,2,9.775,5.8875,Yes,1
17.35,14.8,16.075,15.4375,Yes,0
16.5,0.2,8.35,4.275,No,0
13.9,0.2,7.05,3.625,No,0
16.75,0,8.375,4.1875,No,0
15.25,0,7.625,3.8125,No,0
18.95,0,9.475,4.7375,No,0
15.65,0,7.825,3.9125,No,0
13.15,0,6.575,3.2875,No,0
14.05,0,7.025,3.5125,No,0
15.1,0,7.55,3.775,No,0
18.65,0,9.325,4.6625,No,1
14.55,1.4,7.975,4.6875,Yes,0
12.6,0,6.3,3.15,No,0
10.85,0,5.425,2.7125,No,1
14.1,16.4,15.25,15.825,Yes,0
11.45,0,5.725,2.8625,No,1
11.25,0,5.625,2.8125,No,0
13.1,0,6.55,3.275,No,0
12.55,0,6.275,3.1375,No,0
11.95,0,5.975,2.9875,No,0
12.85,0.4,6.625,3.5125,No,0
13.25,0,6.625,3.3125,No,0
13.15,1,7.075,4.0375,No,1
11.85,0.4,6.125,3.2625,No,0
11.3,0,5.65,2.825,No,0
6.8,0,3.4,1.7,No,0
11.05,0,5.525,2.7625,No,1
13.25,1.4,7.325,4.3625,Yes,1
12.75,0.4,6.575,3.4875,No,1
11.75,1.4,6.575,3.9875,Yes,0
11.7,3.2,7.45,5.325,Yes,0
12.15,0,6.075,3.0375,No,1
6.35,0.8,3.575,2.1875,No,0
6.25,0,3.125,1.5625,No,0
8.55,0,4.275,2.1375,No,0
8.5,0.2,4.35,2.275,No,0
8.35,0,4.175,2.0875,No,0
8.45,3.2,5.825,4.5125,Yes,0
10.7,0,5.35,2.675,No,0
8.6,0,4.3,2.15,No,1
10.6,2.2,6.4,4.3,Yes,0
9.4,1.8,5.6,3.7,Yes,1
13,4.8,8.9,6.85,Yes,0
11.25,0,5.625,2.8125,No,0
8.55,0,4.275,2.1375,No,0
9.85,0,4.925,2.4625,No,0
6.95,0,3.475,1.7375,No,0
9.55,0,4.775,2.3875,No,0
12.25,0,6.125,3.0625,No,0
14.55,0,7.275,3.6375,No,0
15.55,0.4,7.975,4.1875,No,0
16.55,0,8.275,4.1375,No,0
16.65,0,8.325,4.1625,No,0
11.5,2,6.75,4.375,Yes,0
9.65,0.6,5.125,2.8625,No,1
8.7,0,4.35,2.175,No,0
10.5,0,5.25,2.625,No,0
13.35,0,6.675,3.3375,No,1
11.8,3.2,7.5,5.35,Yes,1
9.7,5.6,7.65,6.625,Yes,0
9.75,0,4.875,2.4375,No,0
8.5,0,4.25,2.125,No,0
11.15,0,5.575,2.7875,No,0
10.15,0,5.075,2.5375,No,0
12.45,0,6.225,3.1125,No,0
14.65,0,7.325,3.6625,No,0
11.45,1,6.225,3.6125,No,0
11.05,0.4,5.725,3.0625,No,0
11.25,0,5.625,2.8125,No,0
10.5,0,5.25,2.625,No,0
9.6,0,4.8,2.4,No,0
11.4,0,5.7,2.85,No,0
14.25,0,7.125,3.5625,No,0
17.7,0,8.85,4.425,No,0
12.1,9.6,10.85,10.225,Yes,1
11.7,0,5.85,2.925,No,0
12.15,0,6.075,3.0375,No,0
9.9,0,4.95,2.475,No,0
14.2,0,7.1,3.55,No,0
16.4,0,8.2,4.1,No,0
14.75,6.6,10.675,8.6375,Yes,0
13.15,0,6.575,3.2875,No,0
10.8,0.4,5.6,3,No,0
12.6,0,6.3,3.15,No,0
14.5,0,7.25,3.625,No,0
14.8,0,7.4,3.7,No,1
12.9,5,8.95,6.975,Yes,1
13.15,2.8,7.975,5.3875,Yes,0
12.05,0.6,6.325,3.4625,No,0
14.8,0,7.4,3.7,No,1
12.55,2.4,7.475,4.9375,Yes,0
10.45,0,5.225,2.6125,No,0
13.75,0,6.875,3.4375,No,1
11.45,2.8,7.125,4.9625,Yes,0
13.9,0,6.95,3.475,No,0
11.6,0,5.8,2.9,No,0
14.4,0,7.2,3.6,No,1
18.5,0,9.25,4.625,No,1
13.05,13.4,13.225,13.3125,Yes,0
13.85,0.2,7.025,3.6125,No,1
18.95,0,9.475,4.7375,No,0
23.1,0,11.55,5.775,No,0
16.85,0,8.425,4.2125,No,0
24.55,0,12.275,6.1375,No,0
14.45,0.2,7.325,3.7625,No,0
12,0,6,3,No,0
13.45,0,6.725,3.3625,No,0
18.05,0,9.025,4.5125,No,0
15.45,0,7.725,3.8625,No,0
11.25,0,5.625,2.8125,No,0
18.35,0,9.175,4.5875,No,1
10.8,2,6.4,4.2,Yes,0
15.6,0,7.8,3.9,No,0
12.65,0,6.325,3.1625,No,0
13.65,0,6.825,3.4125,No,0
17.45,0,8.725,4.3625,No,0
21.5,0,10.75,5.375,No,0
16.1,0,8.05,4.025,No,0
23.8,0,11.9,5.95,No,0
18,0,9,4.5,No,0
18.5,0,9.25,4.625,No,0
19.95,0,9.975,4.9875,No,0
24.9,0,12.45,6.225,No,1
20.65,31.4,26.025,28.7125,Yes,0
16.45,0,8.225,4.1125,No,0
19.4,0,9.7,4.85,No,0
24.75,0,12.375,6.1875,No,0
22.65,0,11.325,5.6625,No,0
25,0,12.5,6.25,No,0
19.4,3.6,11.5,7.55,Yes,1
18.35,0,9.175,4.5875,No,0
19.4,0,9.7,4.85,No,0
22,0,11,5.5,No,0
17.75,0,8.875,4.4375,No,0
20.05,0,10.025,5.0125,No,0
21.6,0.4,11,5.7,No,0
21,0.4,10.7,5.55,No,1
21.15,1.2,11.175,6.1875,Yes,0
18.8,0,9.4,4.7,No,0
21.85,0,10.925,5.4625,No,0
24.6,0,12.3,6.15,No,0
29.05,0,14.525,7.2625,No,0
18.35,1,9.675,5.3375,No,0
20.45,0,10.225,5.1125,No,0
22.95,0,11.475,5.7375,No,0
23.4,0,11.7,5.85,No,0
20.45,0,10.225,5.1125,No,0
23.25,0,11.625,5.8125,No,0
25.55,0,12.775,6.3875,No,0
29.9,0,14.95,7.475,No,0
31.25,2.2,16.725,9.4625,Yes,0
31.95,0,15.975,7.9875,No,0
26,0,13,6.5,No,0
23.15,0,11.575,5.7875,No,0
22.75,0,11.375,5.6875,No,0
28.1,0,14.05,7.025,No,0
28.9,0,14.45,7.225,No,0
28.65,0,14.325,7.1625,No,0
33.4,0,16.7,8.35,No,0
31.55,0,15.775,7.8875,No,0
24.15,0,12.075,6.0375,No,0
27.75,0.2,13.975,7.0875,No,0
24.15,0,12.075,6.0375,No,0
26.6,0,13.3,6.65,No,0
20.5,8.4,14.45,11.425,Yes,0
25.55,0,12.775,6.3875,No,0
31.1,0,15.55,7.775,No,0
26.9,0,13.45,6.725,No,0
25.5,0,12.75,6.375,No,0
30.85,0,15.425,7.7125,No,1
24.4,4,14.2,9.1,Yes,0
23.4,0.2,11.8,6,No,0
23.55,0,11.775,5.8875,No,0
27.9,0,13.95,6.975,No,0
29.55,0,14.775,7.3875,No,0
31.9,0,15.95,7.975,No,0
24.45,0,12.225,6.1125,No,0
24.35,0,12.175,6.0875,No,0
29.55,0,14.775,7.3875,No,0
23.25,4.8,14.025,9.4125,Yes,0
37.55,0,18.775,9.3875,No,0
22.05,0.4,11.225,5.8125,No,0
18.95,0,9.475,4.7375,No,0
23.95,0,11.975,5.9875,No,0
22.2,0,11.1,5.55,No,0
18.95,0,9.475,4.7375,No,0
16.3,0,8.15,4.075,No,0
15.85,0,7.925,3.9625,No,0
19.25,0,9.625,4.8125,No,0
26.85,0,13.425,6.7125,No,0
21.75,0,10.875,5.4375,No,0
25.45,0,12.725,6.3625,No,0
28.8,0,14.4,7.2,No,0
27.45,0,13.725,6.8625,No,0
26.7,0,13.35,6.675,No,0
25.45,0,12.725,6.3625,No,0
25.1,0,12.55,6.275,No,0
25.45,0,12.725,6.3625,No,0
23.95,0,11.975,5.9875,No,0
26.95,0,13.475,6.7375,No,0
25.6,0,12.8,6.4,No,0
23.4,0,11.7,5.85,No,0
26.85,0,13.425,6.7125,No,0
24.2,0.2,12.2,6.2,No,0
23.95,0,11.975,5.9875,No,0
26.3,0,13.15,6.575,No,0
27.85,0,13.925,6.9625,No,0
20.3,0,10.15,5.075,No,0
14,0,7,3.5,No,0
15,0,7.5,3.75,No,0
16.35,0,8.175,4.0875,No,0
19.4,0,9.7,4.85,No,0
22.1,0,11.05,5.525,No,0
15.5,0.2,7.85,4.025,No,0
15.25,0.2,7.725,3.9625,No,0
16.65,0,8.325,4.1625,No,0
17.8,0,8.9,4.45,No,0
18.65,0,9.325,4.6625,No,0
18.85,0,9.425,4.7125,No,0
18.45,0,9.225,4.6125,No,0
23.7,0,11.85,5.925,No,0
20.75,0,10.375,5.1875,No,1
20.9,31.4,26.15,28.775,Yes,0
20.05,0,10.025,5.0125,No,0
20.6,0,10.3,5.15,No,0
19.2,11.2,15.2,13.2,Yes,0
12.9,0.8,6.85,3.825,No,0
10.85,0,5.425,2.7125,No,0
14.8,0,7.4,3.7,No,0
16.3,0,8.15,4.075,No,0
15.8,0,7.9,3.95,No,0
14.25,0,7.125,3.5625,No,0
10.05,0,5.025,2.5125,No,0
15.8,0,7.9,3.95,No,0
10.25,0,5.125,2.5625,No,0
11.4,0,5.7,2.85,No,0
12.05,0,6.025,3.0125,No,0
11.8,0,5.9,2.95,No,0
11.25,0,5.625,2.8125,No,0
11,0,5.5,2.75,No,0
10.35,0,5.175,2.5875,No,0
15.05,0,7.525,3.7625,No,0
14.3,6.6,10.45,8.525,Yes,0
14.45,0,7.225,3.6125,No,0
15,0,7.5,3.75,No,0
16.05,0,8.025,4.0125,No,1
16.75,7.2,11.975,9.5875,Yes,0
13.75,0,6.875,3.4375,No,0
13.45,0,6.725,3.3625,No,0
14.15,0,7.075,3.5375,No,1
11.6,0.2,5.9,3.05,No,0
7.3,0,3.65,1.825,No,0
6.6,0,3.3,1.65,No,0
7.35,0,3.675,1.8375,No,0
7.4,0,3.7,1.85,No,0
9.1,0,4.55,2.275,No,0
7.95,0,3.975,1.9875,No,0
9.25,0,4.625,2.3125,No,0
11.45,0,5.725,2.8625,No,0
9.15,0,4.575,2.2875,No,0
12.4,0,6.2,3.1,No,0
11.65,1,6.325,3.6625,No,0
9.35,0,4.675,2.3375,No,0
9.5,0.2,4.85,2.525,No,0
8.1,0,4.05,2.025,No,0
10.9,0,5.45,2.725,No,0
12,0,6,3,No,0
21.35,0,10.675,5.3375,No,0
24.65,0,12.325,6.1625,No,0
27.3,0.4,13.85,7.125,No,0
28.5,0,14.25,7.125,No,0
29.7,0,14.85,7.425,No,0
30.2,0,15.1,7.55,No,0
21.75,0,10.875,5.4375,No,0
19.2,0,9.6,4.8,No,0
18.05,0,9.025,4.5125,No,0
18.65,0,9.325,4.6625,No,0
15.4,0.2,7.8,4,No,0
18.25,0,9.125,4.5625,No,0
16.4,0,8.2,4.1,No,0
16.3,4.2,10.25,7.225,Yes,0
13.2,0.2,6.7,3.45,No,0
16.75,0,8.375,4.1875,No,0
17.75,0,8.875,4.4375,No,0
12.8,0.2,6.5,3.35,No,0
18.2,0,9.1,4.55,No,0
22.6,0,11.3,5.65,No,0
21.05,0,10.525,5.2625,No,0
19,0,9.5,4.75,No,0
18.85,0,9.425,4.7125,No,0
22,0,11,5.5,No,0
18.25,0,9.125,4.5625,No,0
11.7,0,5.85,2.925,No,0
13.7,0,6.85,3.425,No,0
14.45,0,7.225,3.6125,No,0
10.35,0,5.175,2.5875,No,0
12.2,0,6.1,3.05,No,0
14.65,9.8,12.225,11.0125,Yes,0
12.7,0.4,6.55,3.475,No,0
14.8,0,7.4,3.7,No,1
15.2,1.2,8.2,4.7,Yes,0
17.25,0,8.625,4.3125,No,0
20.15,0,10.075,5.0375,No,0
15.65,0,7.825,3.9125,No,0
13.9,0,6.95,3.475,No,0
14,0,7,3.5,No,0
13.9,0,6.95,3.475,No,0
10,0,5,2.5,No,1
16.15,1.2,8.675,4.9375,Yes,0
17.55,0,8.775,4.3875,No,0
18.75,0,9.375,4.6875,No,0
19.15,0,9.575,4.7875,No,0
14.75,0,7.375,3.6875,No,1
12.2,1.8,7,4.4,Yes,0
9.65,0,4.825,2.4125,No,0
11.3,0.2,5.75,2.975,No,0
11.1,0.4,5.75,3.075,No,1
10.7,2,6.35,4.175,Yes,0
12.1,0,6.05,3.025,No,0
12.2,0,6.1,3.05,No,0
12.75,1,6.875,3.9375,No,0
13.8,0.8,7.3,4.05,No,1
14.35,14.4,14.375,14.3875,Yes,1
11.75,11.2,11.475,11.3375,Yes,0
7.55,0,3.775,1.8875,No,0
12.55,0,6.275,3.1375,No,0
12.4,0.6,6.5,3.55,No,1
12.4,20,16.2,18.1,Yes,0
7,0.2,3.6,1.9,No,0
8.2,0.2,4.2,2.2,No,0
7.5,0,3.75,1.875,No,0
8.05,0,4.025,2.0125,No,0
8.85,0.2,4.525,2.3625,No,1
10,9,9.5,9.25,Yes,0
9.05,0.6,4.825,2.7125,No,0
8.85,0,4.425,2.2125,No,0
7.7,0,3.85,1.925,No,0
8.15,0.2,4.175,2.1875,No,0
9.7,0,4.85,2.425,No,0
9.6,0,4.8,2.4,No,0
9.3,0.4,4.85,2.625,No,0
10.65,0,5.325,2.6625,No,1
13.1,3,8.05,5.525,Yes,0
12.6,0.2,6.4,3.3,No,0
11.3,0,5.65,2.825,No,0
11.8,0.2,6,3.1,No,1
8.55,2.6,5.575,4.0875,Yes,1
9.6,1.4,5.5,3.45,Yes,1
8.75,2.2,5.475,3.8375,Yes,0
7.8,0,3.9,1.95,No,0
6.2,0.2,3.2,1.7,No,0
6.9,0.2,3.55,1.875,No,0
14.85,14,14.425,14.2125,Yes,0
11.5,1,6.25,3.625,No,0
12.8,0.2,6.5,3.35,No,0
12.45,0,6.225,3.1125,No,1
14,6.2,10.1,8.15,Yes,1
12.75,9,10.875,9.9375,Yes,1
6.25,6.6,6.425,6.5125,Yes,1
7.85,2.2,5.025,3.6125,Yes,0
6.85,0.8,3.825,2.3125,No,0
9.05,0.2,4.625,2.4125,No,0
10.4,0,5.2,2.6,No,0
8.65,0,4.325,2.1625,No,0
11.3,0,5.65,2.825,No,0
10.05,0,5.025,2.5125,No,0
11.85,0.2,6.025,3.1125,No,1
9.35,0,4.675,2.3375,No,0
9.95,0,4.975,2.4875,No,0
9,1.4,5.2,3.3,Yes,1
9.65,4.6,7.125,5.8625,Yes,0
11.7,1,6.35,3.675,No,1
12.5,1.6,7.05,4.325,Yes,0
7.6,4.4,6,5.2,Yes,1
9.7,2.2,5.95,4.075,Yes,0
11.45,1,6.225,3.6125,No,0
12.6,0.2,6.4,3.3,No,0
11.65,1,6.325,3.6625,No,1
11.5,3.6,7.55,5.575,Yes,0
11.25,0,5.625,2.8125,No,1
8.55,4.4,6.475,5.4375,Yes,1
8.55,0.2,4.375,2.2875,No,1
10.15,4.2,7.175,5.6875,Yes,1
11.8,1.2,6.5,3.85,Yes,0
12.35,0.6,6.475,3.5375,No,0
10.1,0,5.05,2.525,No,0
14.1,0.2,7.15,3.675,No,0
14.6,0,7.3,3.65,No,0
14.7,1,7.85,4.425,No,0
15.65,0.6,8.125,4.3625,No,0
15.15,0,7.575,3.7875,No,0
17.65,0,8.825,4.4125,No,0
11.55,0.4,5.975,3.1875,No,1
11.85,2.6,7.225,4.9125,Yes,0
11.3,0,5.65,2.825,No,0
18.9,0,9.45,4.725,No,0
11.1,0,5.55,2.775,No,0
10.8,0,5.4,2.7,No,0
9.65,0.2,4.925,2.5625,No,1
8.45,5,6.725,5.8625,Yes,0
12.15,0.6,6.375,3.4875,No,0
14.85,7.6,11.225,9.4125,Yes,1
11.65,1.4,6.525,3.9625,Yes,1
10.5,2.4,6.45,4.425,Yes,1
12.5,5.8,9.15,7.475,Yes,0
12,0.2,6.1,3.15,No,0
13.9,0.8,7.35,4.075,No,0
17.4,0,8.7,4.35,No,0
15.3,0,7.65,3.825,No,1
12,11.4,11.7,11.55,Yes,0
13.45,0,6.725,3.3625,No,0
11.8,0.6,6.2,3.4,No,0
15.15,0,7.575,3.7875,No,0
18.2,0,9.1,4.55,No,1
11.4,7.6,9.5,8.55,Yes,1
12,1.2,6.6,3.9,Yes,1
10.3,4,7.15,5.575,Yes,0
18.6,0,9.3,4.65,No,0
11.85,0,5.925,2.9625,No,0
11.75,0.2,5.975,3.0875,No,0
14.45,0,7.225,3.6125,No,0
20.9,0,10.45,5.225,No,0
13.9,0,6.95,3.475,No,0
12.25,0.4,6.325,3.3625,No,0
16.25,0,8.125,4.0625,No,0
12.9,0,6.45,3.225,No,0
10.6,0,5.3,2.65,No,0
12.25,0,6.125,3.0625,No,0
17.95,0,8.975,4.4875,No,1
13.8,2.2,8,5.1,Yes,0
23.9,0,11.95,5.975,No,0
19.15,0,9.575,4.7875,No,1
16.5,1.4,8.95,5.175,Yes,1
13.75,10.4,12.075,11.2375,Yes,0
9.5,0.2,4.85,2.525,No,0
9.7,0,4.85,2.425,No,0
12.75,0,6.375,3.1875,No,0
16.3,0.4,8.35,4.375,No,0
14.75,0,7.375,3.6875,No,0
12.5,0,6.25,3.125,No,0
15.45,0,7.725,3.8625,No,0
17.35,0,8.675,4.3375,No,0
19.35,0,9.675,4.8375,No,0
15.3,0,7.65,3.825,No,0
13.05,0,6.525,3.2625,No,0
14.05,0,7.025,3.5125,No,0
11.55,0.2,5.875,3.0375,No,0
11.15,0,5.575,2.7875,No,0
13.85,0.8,7.325,4.0625,No,0
12.95,0,6.475,3.2375,No,0
13.5,0,6.75,3.375,No,0
15,0,7.5,3.75,No,0
16.3,0,8.15,4.075,No,0
20.35,0,10.175,5.0875,No,0
23.2,0,11.6,5.8,No,0
13.8,0,6.9,3.45,No,0
15.95,0,7.975,3.9875,No,0
16.4,0,8.2,4.1,No,0
16.45,0,8.225,4.1125,No,0
22.3,0,11.15,5.575,No,0
26.8,0,13.4,6.7,No,0
17.85,0,8.925,4.4625,No,1
14.8,2.4,8.6,5.5,Yes,0
22.65,0,11.325,5.6625,No,0
18.7,1.2,9.95,5.575,Yes,0
13,0,6.5,3.25,No,0
15.15,0.2,7.675,3.9375,No,0
25.2,0,12.6,6.3,No,0
17.5,0.2,8.85,4.525,No,0
16.15,0,8.075,4.0375,No,0
20.3,0,10.15,5.075,No,0
16.45,0,8.225,4.1125,No,0
19.95,0,9.975,4.9875,No,0
21.1,0,10.55,5.275,No,0
24.8,0,12.4,6.2,No,0
30.95,0,15.475,7.7375,No,0
29.75,0,14.875,7.4375,No,0
22.8,0,11.4,5.7,No,0
22.75,0,11.375,5.6875,No,0
17.05,0,8.525,4.2625,No,0
21.85,0,10.925,5.4625,No,0
20.35,0,10.175,5.0875,No,0
16.25,0,8.125,4.0625,No,0
17.95,0,8.975,4.4875,No,0
19.85,0,9.925,4.9625,No,0
23.2,0,11.6,5.8,No,1
18.85,1.8,10.325,6.0625,Yes,0
16.5,0,8.25,4.125,No,0
14.9,0,7.45,3.725,No,0
18.65,0,9.325,4.6625,No,0
25.35,0,12.675,6.3375,No,0
28.35,0,14.175,7.0875,No,0
24,0,12,6,No,0
26.75,0,13.375,6.6875,No,0
33.7,0,16.85,8.425,No,0
33.2,0.6,16.9,8.75,No,0
33.45,0,16.725,8.3625,No,0
33.7,0,16.85,8.425,No,0
26.2,0,13.1,6.55,No,0
20.5,0,10.25,5.125,No,0
20.75,0,10.375,5.1875,No,0
25.2,0.6,12.9,6.75,No,0
19.15,0.2,9.675,4.9375,No,0
27.4,0,13.7,6.85,No,0
32.8,0,16.4,8.2,No,0
25,0,12.5,6.25,No,0
27.3,0,13.65,6.825,No,0
29.35,0,14.675,7.3375,No,0
33.8,0,16.9,8.45,No,0
30.05,0,15.025,7.5125,No,0
19.05,0,9.525,4.7625,No,0
28.15,0,14.075,7.0375,No,0
25.75,0,12.875,6.4375,No,0
30.35,0,15.175,7.5875,No,0
25.6,0,12.8,6.4,No,0
29.1,0,14.55,7.275,No,0
28.1,0,14.05,7.025,No,1
20.85,0,10.425,5.2125,No,0
19.7,0,9.85,4.925,No,0
15.2,5.2,10.2,7.7,Yes,0
17.75,0,8.875,4.4375,No,0
19.95,0,9.975,4.9875,No,0
22.55,0,11.275,5.6375,No,0
21,0,10.5,5.25,No,0
18.15,0,9.075,4.5375,No,0
16.8,0,8.4,4.2,No,0
17.3,0,8.65,4.325,No,0
20.25,0,10.125,5.0625,No,0
20,0,10,5,No,0
20.7,0,10.35,5.175,No,0
16.8,0.2,8.5,4.35,No,0
20.4,0,10.2,5.1,No,0
18.2,2.2,10.2,6.2,Yes,0
19.05,0.4,9.725,5.0625,No,0
19.7,0,9.85,4.925,No,0
17.65,0,8.825,4.4125,No,0
12.95,0,6.475,3.2375,No,0
15.15,0,7.575,3.7875,No,0
20.65,1,10.825,5.9125,No,0
20.4,0,10.2,5.1,No,0
18.95,0.2,9.575,4.8875,No,0
19.9,0.2,10.05,5.125,No,0
21.5,0,10.75,5.375,No,0
23.3,0,11.65,5.825,No,0
26.9,0,13.45,6.725,No,1
15.95,0,7.975,3.9875,No,0
15.45,0,7.725,3.8625,No,0
14.35,0,7.175,3.5875,No,0
17.95,0,8.975,4.4875,No,0
19.2,0,9.6,4.8,No,0
17.85,0.4,9.125,4.7625,No,1
17.7,11.2,14.45,12.825,Yes,1
15.95,0,7.975,3.9875,No,0
15.65,0,7.825,3.9125,No,0
14.45,0.2,7.325,3.7625,No,0
14.85,0,7.425,3.7125,No,0
16.35,0,8.175,4.0875,No,0
17.65,1.4,9.525,5.4625,Yes,0
11.75,0,5.875,2.9375,No,0
13.05,0,6.525,3.2625,No,0
15.05,0,7.525,3.7625,No,0
10.3,0,5.15,2.575,No,0
16.4,0,8.2,4.1,No,1
13.7,13.8,13.75,13.775,Yes,1
11.4,10,10.7,10.35,Yes,0
11.5,1,6.25,3.625,No,1
10.2,0.2,5.2,2.7,No,0
12.85,0.2,6.525,3.3625,No,0
9.85,1,5.425,3.2125,No,0
8.65,0.2,4.425,2.3125,No,0
10.95,0,5.475,2.7375,No,0
13.3,0,6.65,3.325,No,1
14.75,3.8,9.275,6.5375,Yes,0
13.85,0,6.925,3.4625,No,0
12.8,0.2,6.5,3.35,No,0
13.9,0.2,7.05,3.625,No,0
14.95,0,7.475,3.7375,No,0
18.05,0,9.025,4.5125,No,0
18.7,0,9.35,4.675,No,0
17.55,0,8.775,4.3875,No,0
16.95,0,8.475,4.2375,No,0
15.75,0,7.875,3.9375,No,0
18,0,9,4.5,No,1
16.2,14.2,15.2,14.7,Yes,0
14.35,0,7.175,3.5875,No,0
15.65,10,12.825,11.4125,Yes,1
14,1.8,7.9,4.85,Yes,1
14.35,1.2,7.775,4.4875,Yes,0
11.1,0,5.55,2.775,No,1
8.6,0.2,4.4,2.3,No,0
11.8,0.2,6,3.1,No,0
12.1,0.2,6.15,3.175,No,0
9.45,0,4.725,2.3625,No,0
11.55,0,5.775,2.8875,No,0
9.3,0,4.65,2.325,No,0
7.45,0,3.725,1.8625,No,0
11.2,0.2,5.7,2.95,No,0
11.15,0,5.575,2.7875,No,0
11.1,0,5.55,2.775,No,1
9.3,0.8,5.05,2.925,No,0
10.55,0,5.275,2.6375,No,0
11.75,0.6,6.175,3.3875,No,1
8.75,2.2,5.475,3.8375,Yes,0
11.1,0,5.55,2.775,No,0
8.55,0,4.275,2.1375,No,0
11.3,0,5.65,2.825,No,0
11.85,1,6.425,3.7125,No,0
10.6,0.6,5.6,3.1,No,0
9.6,0,4.8,2.4,No,1
10.15,9.2,9.675,9.4375,Yes,0
11.3,0.2,5.75,2.975,No,1
12.5,3.2,7.85,5.525,Yes,0
12,0,6,3,No,1
9.2,3.8,6.5,5.15,Yes,1
8.2,0.2,4.2,2.2,No,1
9.5,0,4.75,2.375,No,0
